accountNumber,accountName,itemNumber,itemDescription,itemPack,itemSize,itemLabel,itemWeight,RandomWeight,itemCost,itemCaseCost,caseQuantity,totalSales,payeeNumber,payeeName,Food Show Year
586161,ORIGINS RECOVERY OF TEXAS-BOYS HOUSE,10345,MAHI PORTION 6OZ IQF SL PERU,1,10 LB,PACKER,10,Y,5.87,58.7,9,528.3,269640,GREAT AMERICAN SEAFOOD IMPORT CO.,2016
603988,SCHLITTERBAHN SOUTH PADRE BEACH RESORT,10345,MAHI PORTION 6OZ IQF SL PERU,1,10 LB,PACKER,10,Y,5.87,58.7,1,58.7,269640,GREAT AMERICAN SEAFOOD IMPORT CO.,2016
626023,HULA HUT-LITTLE ELM-ACH#2470,10345,MAHI PORTION 6OZ IQF SL PERU,1,10 LB,PACKER,10,Y,5.87,58.7,44,2582.8,269640,GREAT AMERICAN SEAFOOD IMPORT CO.,2016
582603,POLO'S MEXICAN FOOD CO.-ACH#1964,11044,"EGGS, GRADE AA LG FRESH",1,15 DOZEN,CAL-MAINE,24.35,N,17.55,17.55,17,298.35,107212,"CAL-MAINE FOODS, INC.",2016
633,PARENT CHILD ACCOUNTS,11174,CARROT BABY 1/2 CUP IW,100,2.6 OZ,CARROT,20,N,18.1,18.1,3,54.3,226450,"GRIMMWAY ENTERPRISES, INC.",2016
586161,ORIGINS RECOVERY OF TEXAS-BOYS HOUSE,11174,CARROT BABY 1/2 CUP IW,100,2.6 OZ,CARROT,20,N,18.1,18.1,1,18.1,226450,"GRIMMWAY ENTERPRISES, INC.",2016
586811,BIG'S 403-RITTIMAN,11408,"CHICK, BRD PATTY H/SPCY RAW",2,5 LB,TYSON RL,10.81,N,18,18,1,18,105333,"TYSON FOODS, INC.",2016
468878,LA TUNA GRILL-ACH#1651,11412,"EGG, WHOLE W/CITRIC CARTON",12,2 LB,SUNNY FRES,25,N,35.78,35.78,1,35.78,134899,SUNNY FRESH FOODS/CARGILL,2016
970,LOS BARRIOS,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,3,61.5,105333,"TYSON FOODS, INC.",2016
103144,CAMP RIO VISTA,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,18,369,105333,"TYSON FOODS, INC.",2016
293849,CAMP BALCONES SPRINGS,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,51,1045.5,105333,"TYSON FOODS, INC.",2016
321567,STERLING AFFAIRS-AUSTIN ACH#326,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,6,123,105333,"TYSON FOODS, INC.",2016
360449,BEEFY BURGER-ROBSTOWN,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,4,82,105333,"TYSON FOODS, INC.",2016
376019,BARRERA'S FRIED CHICKEN-ROBSTOWN,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,9,184.5,105333,"TYSON FOODS, INC.",2016
399329,BRISKET BAR B Q INC.-BELLAIRE,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,6,123,105333,"TYSON FOODS, INC.",2016
408166,FIRST BAPTIST CHURCH-KINGSLAND,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,2,41,105333,"TYSON FOODS, INC.",2016
559032,SKILLETS RESTAURANT #93-DEL RIO-ACH#1665,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,22,451,105333,"TYSON FOODS, INC.",2016
591327,RIATA BAR AND GRILL ACH #2034,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,3,61.5,105333,"TYSON FOODS, INC.",2016
601438,SULLY'S BOWLING LANES,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,3,61.5,105333,"TYSON FOODS, INC.",2016
617121,PRIME TIME EXON-ACH#2726,11414,"CHICK, TNDR HMSTYL BRD RAW",2,5 LB,TYSON RLS,10.81,N,20.5,20.5,3,61.5,105333,"TYSON FOODS, INC.",2016
431,TEX-BEST/EL TIGRE-LA LOMITA INC.,11415,"CHICKEN TENDERS, IDEAL W/PPR",2,5 LB,TYSON,10.69,N,21.5,21.5,49,1053.5,105333,"TYSON FOODS, INC.",2016
614947,UNITED FACILITY SERVICES CORPORATION,11415,"CHICKEN TENDERS, IDEAL W/PPR",2,5 LB,TYSON,10.69,N,21.5,21.5,1,21.5,105333,"TYSON FOODS, INC.",2016
837,KAHALA ACCOUNTS,11416,"CHICK, DICED 1/2 GRL BRST FC",2,5 LB,TYSON RLS,10.81,N,31,31,27,837,105333,"TYSON FOODS, INC.",2016
140562,SNOOPY'S PIER,11416,"CHICK, DICED 1/2 GRL BRST FC",2,5 LB,TYSON RLS,10.81,N,31,31,4,124,105333,"TYSON FOODS, INC.",2016
293849,CAMP BALCONES SPRINGS,11416,"CHICK, DICED 1/2 GRL BRST FC",2,5 LB,TYSON RLS,10.81,N,31,31,11,341,105333,"TYSON FOODS, INC.",2016
302872,CAMP CHAMPIONS TX-MARBLE FALLS,11416,"CHICK, DICED 1/2 GRL BRST FC",2,5 LB,TYSON RLS,10.81,N,31,31,19,589,105333,"TYSON FOODS, INC.",2016
551899,WESTOVER HILLS LEARNING CENTER,11416,"CHICK, DICED 1/2 GRL BRST FC",2,5 LB,TYSON RLS,10.81,N,31,31,4,124,105333,"TYSON FOODS, INC.",2016
560804,BCFS HEALTH & HUMAN SERVICES-HOUSE A,11416,"CHICK, DICED 1/2 GRL BRST FC",2,5 LB,TYSON RLS,10.81,N,31,31,1,31,105333,"TYSON FOODS, INC.",2016
994,Juice Bar,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,180,6660,105333,"TYSON FOODS, INC.",2016
302872,CAMP CHAMPIONS TX-MARBLE FALLS,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,21,777,105333,"TYSON FOODS, INC.",2016
490938,SCHLITTERBAHN GALVESTON,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,73,2701,105333,"TYSON FOODS, INC.",2016
569852,BCFS HEALTH & HUMAN SERVICES-HARLINGEN,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,5,185,105333,"TYSON FOODS, INC.",2016
586811,BIG'S 403-RITTIMAN,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,1,37,105333,"TYSON FOODS, INC.",2016
589896,BCFS HEALTH & HUMAN SRVC-RAYMONDVILLE,11420,"CHICK, GRILLED BRST FC 4OZ",2,5 LB,TYSON RLS,10.81,N,37,37,1,37,105333,"TYSON FOODS, INC.",2016
