accountNumber,accountName,itemNumber,itemDescription,itemPack,itemSize,itemLabel,itemWeight,RandomWeight,itemCost,itemCaseCost,caseQuantity,totalSales,vendorGroupNumber,vendorGroupName,Food Show Year
2,ALAMO CAFE'S,41057,HANDLE MOP WOOD MTL QKCHG 60,1,1 CT,ACS,2.5,N,6.27,6.27,4,25.08,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,42020,"BROOM WAREHOUSE XHVY-DTY 58""",1,1 CT,SCRUBBLE,2.33,N,6.39,6.39,2,12.78,252250,ACS INDUSTRIES,2017
2,ALAMO CAFE'S,201103,"CHERRIES, MARA LARGE W/STEMS",6,1/2 GAL,DIANA,40,N,44.08,44.08,4,176.32,189010,SENECA FOODS CORP.,2017
2,ALAMO CAFE'S,1128016,CREAM OF COCONUT,24,15.5 OZ,COCO LOPEZ,28,N,49.9,49.9,4,199.6,105481,AMERICAN ROLAND FOOD CORPORATION,2017
2,ALAMO CAFE'S,1155001,"JUICE, TOMATO ZIP-TOP,100%",48,5.5 OZ,CAMPBELLS,19,N,15.84,15.84,4,63.36,100986,CAMPBELL FOODSERVICE COMPANY,2017
2,ALAMO CAFE'S,1271230,"COFFEE, GRND CLASSIC RST FP",160,1.05 OZ,FOLGER'S,13.99,N,89.81,89.81,4,359.24,147680,J.M. SMUCKER COMPANY COFFEE & TEA,2017
2,ALAMO CAFE'S,1447507,"BEANS, GREEN BLUE LAKE(3 SV)",6,#10,STOKELY,44.2,N,20.92,20.92,34,711.28,189010,SENECA FOODS CORP.,2017
2,ALAMO CAFE'S,1983006,"JALAPENOS, SLICED (GLASS)",4,1 GL,CAJUN CHEF,44,N,22.25,22.25,26,578.5,100862,CAJUN CHEF PRODUCTS INC.,2017
2,ALAMO CAFE'S,1986009,"JALAPENOS, WHOLE 80/90",6,#10,FARO,45,N,23.15,23.15,6,138.9,108022,EMPACADORA DEL GOLFO USA LLC,2017
2,ALAMO CAFE'S,2032662,"PIMENTOES, DICED",12,28 OZ,ROLAND,26,N,29.01,29.01,2,58.02,105481,AMERICAN ROLAND FOOD CORPORATION,2017
2,ALAMO CAFE'S,2248508,"TOMATOES,WHOLE PEELED EX-STD",6,#10,ANGELA MIA,43.07,N,23.26,23.26,500,11630,102466,CONAGRA FOODS / HUNT WESSON,2017
2,ALAMO CAFE'S,3246053,"KETCHUP, USD TABLE TOP",16,14 OZ,HEINZ,15.56,N,22.33,22.33,22,491.26,102237,HEINZ NORTH AMERICA,2017
2,ALAMO CAFE'S,3274503,"SAUCE, TABASCO",24,2 OZ,MCILHENNY,8.5,N,28.02,28.02,2,56.04,103292,MCILHENNY COMPANY,2017
2,ALAMO CAFE'S,3326535,"DRESSING, BLEU CHEESE CHUNKY",4,1 GAL.,KEN'S,37,N,49.93,49.93,4,199.72,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3326597,"DRESSING, RED WINE VING",4,1 GAL,KEN'S,37,N,35.8,35.8,4,143.2,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3326619,"DRESSING, ITALIAN OIL & VING",4,1 GL,KEN'S,37,N,25.91,25.91,2,51.82,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3327897,"MAYONNAISE, HEAVY DUTY",4,1 GAL.,KEN'S,37,N,29.51,29.51,16,472.16,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3328572,"DRESSING, HONEY MUSTRD DIJON",4,1 GAL.,KEN'S,37,N,38.27,38.27,4,153.08,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3329679,"DRESSING, RANCH FAT FREE",4,1 GAL.,KEN'S,37,N,37.62,37.62,2,75.24,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3435682,"DRESSING, 1000 ISLAND SUPREM",4,1 GAL.,KEN'S,37,N,34.26,34.26,2,68.52,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3458965,"DRESSING, CAESAR TABLE SIDE",4,1 GAL.,KEN'S,37,N,48.48,48.48,4,193.92,173570,KENS FOODS,2017
2,ALAMO CAFE'S,3529831,"SOUR CREAM, 100% PURE",4,5 LB,DAISY,20,N,21.45,21.45,88,1887.6,121126,"DAISY BRAND, LLC",2017
2,ALAMO CAFE'S,3616505,WORCESTERSHIRE SAUCE,24,5 OZ,LEA PERRN,17,N,34.24,34.24,2,68.48,102237,HEINZ NORTH AMERICA,2017
2,ALAMO CAFE'S,3774545,"CROUTONS,H/S SEA. T/FAT FREE",8,2.5LB,FRESH GOUR,22,N,36.81,36.81,6,220.86,104922,SUGAR FOODS CORPORATION,2017
2,ALAMO CAFE'S,3805512,TEDDY GRAHAMS CINNAMON WG,150,.75 OZ,NABISCO,10.25,N,32.95,32.95,16,527.2,270740,MONDELEZ,2017
2,ALAMO CAFE'S,3824035,"FLOUR,STONE GROUND W WHEAT",1,50 LB,GOLD MEDAL,51,N,14.51,14.51,2,29.02,102075,"GENERAL MILLS, INC.",2017
2,ALAMO CAFE'S,4235108,"RICE, PARBOILED (POLYBAG)",1,25 LB,FALCON,25,N,9.75,9.75,140,1365,209770,FALCON RICE MILL,2017
2,ALAMO CAFE'S,4391769,"BEANS, BLACK TURTLE",1,50 LB,JACKRABBIT,50.5,N,33.76,33.76,4,135.04,195580,TRINIDAD BENHAM CORP,2017
2,ALAMO CAFE'S,5162344,"PICKLE, CC SLICED CT 2970",1,5 GAL,CHEF SUPRE,47.7,N,14.39,14.39,8,115.12,100552,BEST MAID PRODUCTS INC.,2017
2,ALAMO CAFE'S,5254552,"VINEGAR, WHITE",6,1 GAL,GARDENCLUB,55,N,9.42,9.42,4,37.68,101230,CLEMENTS FOODS COMPANY,2017
